22
7 27 27 16 1 文件__ 文件 0 
61 27 32 16 1 编辑__ 编辑 0 
118 27 32 16 1 查看__ 查看 0 
175 27 32 16 1 收藏__ 收藏 0 
235 27 32 16 1 工具__ 工具 0 
294 27 30 16 1 帮助__ 帮助 0 
250 48 88 16 1 映射网反络动器__ 映射网络驱动器__ 1 4 
250 66 87 15 1 断开网反络动器__ 断开网络驱动器__ 1 4 
250 84 27 15 1 同步__ 同步__ 1 4 
250 111 63 15 1 文件夹选文反__ 文件夹选项__ 1 4 
201 51 76 13 1 添加到收藏夹__ 添加到收藏夹__ 1 3 
201 70 64 13 1 整整收藏夹__ 整理收藏夹__ 1 3 
201 99 54 15 1 收藏夹栏__ 收藏夹栏__ 1 3 
201 138 55 15 1 淘择络__ 淘宝购物__ 1 3 
135 66 40 15 1 状态栏__ 状态栏__ 1 2 
135 84 50 16 1 这浏器栏__ 浏览器栏__ 1 2 
77 202 51 15 1 查全选定__ 全部选定__ 1 1 
77 220 51 15 1 反向选择__ 反向选择__ 1 1 
17 104 29 14 1 属性__ 属性__ 1 0 
17 130 29 14 1 关同__ 关闭__ 1 0 
308 77 29 14 1 这份__ 这份__ 1 5 
308 95 29 14 1 关于__ 关于__ 1 5 
